Lat,Long,Month,Period,Offense,Season
36.816812,-76.127905,MAY,EVENING,LARCENY,SPRING
36.887562,-76.127965,MARCH,AFTERNOON,LARCENY,SPRING
36.764618,-76.127991,DECEMBER,MORNING,FRAUD,WINTER
36.764618,-76.127991,APRIL,AFTERNOON,HIT & RUN,SPRING
36.807265,-76.128048,FEBRUARY,AFTERNOON,LARCENY,WINTER
36.785448,-76.12808,OCTOBER,AFTERNOON,LARCENY,FALL
36.839265,-76.128104,JULY,NIGHT,LARCENY,SUMMER
36.773041,-76.128135,AUGUST,MORNING,LARCENY,SUMMER
36.85375,-76.128139,NOVEMBER,NIGHT,LARCENY,FALL
36.898214,-76.128178,MARCH,EVENING,LARCENY,SPRING
36.898214,-76.128178,NOVEMBER,AFTERNOON,FRAUD,FALL
36.898214,-76.128178,FEBRUARY,NIGHT,LARCENY,WINTER
36.898214,-76.128178,JUNE,AFTERNOON,LARCENY,SUMMER
36.898214,-76.128178,JULY,MORNING,FRAUD,SUMMER
36.898214,-76.128178,JULY,AFTERNOON,LARCENY,SUMMER
36.803047,-76.128195,JULY,MORNING,ASSAULT,SUMMER
36.803047,-76.128195,AUGUST,EVENING,LARCENY,SUMMER
36.803047,-76.128195,MARCH,NIGHT,ASSAULT,SPRING
36.802978,-76.128273,SEPTEMBER,EVENING,DESTRUCTION OF PROPERTY,FALL
36.802978,-76.128273,JUNE,NIGHT,ASSAULT,SUMMER
36.802978,-76.128273,SEPTEMBER,EVENING,LARCENY,FALL
36.802978,-76.128273,JULY,NIGHT,DESTRUCTION OF PROPERTY,SUMMER
36.868165,-76.12835,NOVEMBER,MORNING,FRAUD,FALL
36.913671,-76.128364,APRIL,NIGHT,LARCENY,SPRING
36.818995,-76.128432,AUGUST,AFTERNOON,LARCENY,SUMMER
36.818995,-76.128432,SEPTEMBER,MORNING,LARCENY,FALL
36.818995,-76.128432,NOVEMBER,NIGHT,DESTRUCTION OF PROPERTY,FALL
36.818995,-76.128432,MAY,MORNING,DESTRUCTION OF PROPERTY,SPRING
36.815593,-76.128454,MAY,MORNING,FRAUD,SPRING
36.913,-76.128472,JULY,NIGHT,LARCENY,SUMMER
36.80556,-76.128498,AUGUST,MORNING,FRAUD,SUMMER
36.80556,-76.128498,JUNE,EVENING,LARCENY,SUMMER
36.80556,-76.128498,JANUARY,MORNING,FRAUD,WINTER
36.851909,-76.128543,FEBRUARY,AFTERNOON,HIT & RUN,WINTER
36.863104,-76.128553,SEPTEMBER,AFTERNOON,DESTRUCTION OF PROPERTY,FALL
36.863104,-76.128553,OCTOBER,AFTERNOON,LARCENY,FALL
36.863104,-76.128553,APRIL,NIGHT,FRAUD,SPRING
36.863104,-76.128553,FEBRUARY,AFTERNOON,DESTRUCTION OF PROPERTY,WINTER
36.781612,-76.128578,DECEMBER,MORNING,DESTRUCTION OF PROPERTY,WINTER
36.781612,-76.128578,MAY,MORNING,FRAUD,SPRING
36.781612,-76.128578,JANUARY,NIGHT,LARCENY,WINTER
36.840603,-76.128587,JULY,MORNING,DESTRUCTION OF PROPERTY,SUMMER
36.840603,-76.128587,JUNE,AFTERNOON,ASSAULT,SUMMER
36.793234,-76.128625,JUNE,EVENING,DESTRUCTION OF PROPERTY,SUMMER
36.883271,-76.128667,MARCH,EVENING,LARCENY,SPRING
36.883271,-76.128667,FEBRUARY,NIGHT,ASSAULT,WINTER
36.850192,-76.128676,APRIL,MORNING,HIT & RUN,SPRING
36.850049,-76.128677,APRIL,EVENING,ASSAULT,SPRING
36.850049,-76.128677,APRIL,MORNING,LARCENY,SPRING
36.863062,-76.128749,JULY,MORNING,HIT & RUN,SUMMER
36.869921,-76.128752,MARCH,AFTERNOON,LARCENY,SPRING
36.869784,-76.128851,MAY,MORNING,FRAUD,SPRING
36.908187,-76.128899,AUGUST,EVENING,DESTRUCTION OF PROPERTY,SUMMER
36.908187,-76.128899,NOVEMBER,MORNING,FRAUD,FALL
36.772991,-76.12893,AUGUST,MORNING,FRAUD,SUMMER
36.86051,-76.128968,JULY,AFTERNOON,DESTRUCTION OF PROPERTY,SUMMER
36.819138,-76.129034,MAY,MORNING,FRAUD,SPRING
36.860523,-76.129139,FEBRUARY,MORNING,DESTRUCTION OF PROPERTY,WINTER
36.874988,-76.129157,FEBRUARY,MORNING,FRAUD,WINTER
36.874988,-76.129157,FEBRUARY,MORNING,LARCENY,WINTER
36.756522,-76.129158,JULY,MORNING,LARCENY,SUMMER
36.756522,-76.129158,SEPTEMBER,NIGHT,FRAUD,FALL
36.756522,-76.129158,NOVEMBER,NIGHT,LARCENY,FALL
36.805582,-76.129159,JUNE,NIGHT,LARCENY,SUMMER
36.839303,-76.129191,OCTOBER,NIGHT,LARCENY,FALL
36.871037,-76.129273,JUNE,AFTERNOON,FRAUD,SUMMER
36.871037,-76.129273,JUNE,EVENING,LARCENY,SUMMER
36.91756,-76.129295,JULY,NIGHT,LARCENY,SUMMER
36.818225,-76.129301,NOVEMBER,NIGHT,LARCENY,FALL
36.870351,-76.129304,JUNE,EVENING,LARCENY,SUMMER
36.775382,-76.129322,JANUARY,EVENING,LARCENY,WINTER
36.775382,-76.129322,JANUARY,EVENING,DESTRUCTION OF PROPERTY,WINTER
36.775382,-76.129322,JANUARY,NIGHT,LARCENY,WINTER
36.775382,-76.129322,APRIL,MORNING,FRAUD,SPRING
36.85744,-76.129385,NOVEMBER,MORNING,FRAUD,FALL
36.755177,-76.129438,AUGUST,MORNING,ASSAULT,SUMMER
36.755177,-76.129438,APRIL,EVENING,DESTRUCTION OF PROPERTY,SPRING
36.816759,-76.129459,OCTOBER,MORNING,FRAUD,FALL
36.874118,-76.12946,MARCH,NIGHT,DESTRUCTION OF PROPERTY,SPRING
36.777986,-76.129471,APRIL,EVENING,LARCENY,SPRING
36.77826,-76.129487,JULY,NIGHT,DESTRUCTION OF PROPERTY,SUMMER
36.77826,-76.129487,JULY,NIGHT,LARCENY,SUMMER
36.86224,-76.129493,JUNE,MORNING,FRAUD,SUMMER
36.800028,-76.129562,JUNE,AFTERNOON,LARCENY,SUMMER
36.800028,-76.129562,DECEMBER,EVENING,HIT & RUN,WINTER
36.800028,-76.129562,OCTOBER,AFTERNOON,LARCENY,FALL
36.800028,-76.129562,NOVEMBER,NIGHT,LARCENY,FALL
36.800028,-76.129562,DECEMBER,AFTERNOON,HIT & RUN,WINTER
36.800028,-76.129562,SEPTEMBER,MORNING,LARCENY,FALL
36.808057,-76.12957,AUGUST,MORNING,HIT & RUN,SUMMER
36.875121,-76.129621,SEPTEMBER,MORNING,FRAUD,FALL
36.875121,-76.129621,JULY,NIGHT,ASSAULT,SUMMER
36.781623,-76.129622,SEPTEMBER,MORNING,LARCENY,FALL
36.781623,-76.129622,MAY,NIGHT,ASSAULT,SPRING
36.781623,-76.129622,MAY,MORNING,LARCENY,SPRING
36.822682,-76.129672,AUGUST,EVENING,LARCENY,SUMMER
36.793295,-76.129688,MARCH,MORNING,FRAUD,SPRING
36.792479,-76.12974,JULY,AFTERNOON,ASSAULT,SUMMER
36.792479,-76.12974,JANUARY,MORNING,LARCENY,WINTER
36.792479,-76.12974,APRIL,AFTERNOON,ASSAULT,SPRING
36.806338,-76.129751,JULY,EVENING,ASSAULT,SUMMER
36.806338,-76.129751,FEBRUARY,NIGHT,ASSAULT,WINTER
36.806338,-76.129751,FEBRUARY,NIGHT,DESTRUCTION OF PROPERTY,WINTER
36.863019,-76.129872,AUGUST,NIGHT,ASSAULT,SUMMER
36.863019,-76.129872,FEBRUARY,AFTERNOON,LARCENY,WINTER
36.863019,-76.129872,OCTOBER,MORNING,LARCENY,FALL
36.758738,-76.129891,AUGUST,MORNING,FRAUD,SUMMER
36.904628,-76.129892,JANUARY,MORNING,LARCENY,WINTER
36.904628,-76.129892,MAY,NIGHT,DESTRUCTION OF PROPERTY,SPRING
36.904628,-76.129892,JUNE,NIGHT,LARCENY,SUMMER
36.904628,-76.129892,DECEMBER,AFTERNOON,LARCENY,WINTER
36.904628,-76.129892,APRIL,NIGHT,DESTRUCTION OF PROPERTY,SPRING
36.904628,-76.129892,NOVEMBER,EVENING,DESTRUCTION OF PROPERTY,FALL
36.873318,-76.129892,JUNE,MORNING,FRAUD,SUMMER
36.893267,-76.129917,JUNE,AFTERNOON,DESTRUCTION OF PROPERTY,SUMMER
36.852851,-76.12996,MARCH,AFTERNOON,LARCENY,SPRING
36.869805,-76.129997,MAY,MORNING,FRAUD,SPRING
36.869805,-76.129997,APRIL,MORNING,LARCENY,SPRING
36.869805,-76.129997,MARCH,NIGHT,LARCENY,SPRING
36.869805,-76.129997,MAY,MORNING,LARCENY,SPRING
36.869805,-76.129997,FEBRUARY,MORNING,FRAUD,WINTER
36.869805,-76.129997,MAY,NIGHT,LARCENY,SPRING
